A:00 F:40 B:BE C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0216 PCMEM:20,FC,0D,20
A:00 F:40 B:BE C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0214 PCMEM:32,05,20,FC
A:00 F:40 B:BE C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0215 PCMEM:05,20,FC,0D
A:00 F:40 B:BD C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0216 PCMEM:20,FC,0D,20
A:00 F:40 B:BD C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0214 PCMEM:32,05,20,FC
A:00 F:40 B:BD C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0215 PCMEM:05,20,FC,0D
A:00 F:40 B:BC C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0216 PCMEM:20,FC,0D,20
A:00 F:40 B:BC C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0214 PCMEM:32,05,20,FC
A:00 F:40 B:BC C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0215 PCMEM:05,20,FC,0D
A:00 F:40 B:BB C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0216 PCMEM:20,FC,0D,20
A:00 F:40 B:BB C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0214 PCMEM:32,05,20,FC
A:00 F:40 B:BB C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0215 PCMEM:05,20,FC,0D
A:00 F:40 B:BA C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0216 PCMEM:20,FC,0D,20
A:00 F:40 B:BA C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0214 PCMEM:32,05,20,FC
A:00 F:40 B:BA C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0215 PCMEM:05,20,FC,0D
A:00 F:40 B:B9 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0216 PCMEM:20,FC,0D,20
A:00 F:40 B:B9 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0214 PCMEM:32,05,20,FC
A:00 F:40 B:B9 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0215 PCMEM:05,20,FC,0D
A:00 F:40 B:B8 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0216 PCMEM:20,FC,0D,20
A:00 F:40 B:B8 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0214 PCMEM:32,05,20,FC
